"fecha","nombre","cdma","gsma","umts","hspa+","lte"
"2015-06","otecel",0,4063644,301183,151320,44179
"2015-07","otecel",0,4055726,291551,150919,57106
"2015-08","otecel",0,4003445,328679,127403,92449
"2015-09","otecel",0,3900735,331079,104097,127450
"2015-10","otecel",0,3648796,333836,127633,122163
"2015-11","otecel",0,3816931,191763,123354,171282
"2015-12","otecel",0,2002436,1805322,136952,189988
"2016-01","otecel",0,2052400,1779834,146855,221435
"2016-02","otecel",0,1913877,1716159,266928,291133
"2016-03","otecel",0,1835041,1768861,270157,308707
"2016-04","otecel",0,1850948,1781939,264357,314705
"2016-05","otecel",0,1918729,1639352,274697,319013
"2016-06","otecel",0,1906140,1839636,274784,372145
"2016-07","otecel",0,1978738,1768049,273073,479965
"2016-08","otecel",0,2113488,1821036,270543,428664
"2016-09","otecel",0,1965717,1786349,267976,528453
"2016-10","otecel",0,1930861,1780785,262535,589478
"2016-11","otecel",0,1899117,1717745,255378,626771
"2016-12","otecel",0,1881781,1787014,248541,662756
"2017-01","otecel",0,1858877,1764699,240323,661851
"2017-02","otecel",0,1884291,1783584,234461,676596
"2017-03","otecel",0,1894010,1677347,225823,747925
"2017-04","otecel",0,1950607,1684825,219287,748611
"2017-05","otecel",0,2017118,1550688,148788,820559
"2017-06","otecel",0,2088471,1399745,199688,791145
"2017-07","otecel",0,2035325,1396956,211683,830492
"2017-08","otecel",0,1943751,1550434,200473,791144
"2017-09","otecel",0,1912167,1543974,182549,862626
"2017-10","otecel",0,1879187,1518574,182172,859994
"2017-11","otecel",0,1888099,1524114,184590,870715
"2017-12","otecel",0,1924185,1552693,187515,884631
"2018-01","otecel",0,1913275,1537664,185976,876771
"2018-02","otecel",0,926047,985352,666199,1938083
"2018-03","otecel",0,897643,1631849,0,1985563
"2018-04","otecel",0,887217,1636591,0,2027501
"2018-05","otecel",0,883944,1632151,0,2065955
"2018-06","otecel",0,871850,1634117,0,2116047
"2018-07","otecel",0,855691,1636348,0,2174124
"2018-08","otecel",0,831198,1633767,0,2170645
"2018-09","otecel",0,814610,1615007,0,2219184
"2018-10","otecel",0,799562,1584865,0,2241461
"2018-11","otecel",0,782992,1598011,0,2268995
"2018-12","otecel",0,765659,1596404,0,2317583
"2019-01","otecel",0,743274,1588455,0,2343431
"2019-02","otecel",0,727542,1577990,0,2371112
"2019-03","otecel",0,692411,1551759,0,2379608
"2019-04","otecel",0,670129,1544982,0,2400659
"2019-05","otecel",0,639024,1513323,0,2414030
"2019-06","otecel",0,615160,1501591,0,2423312
"2019-07","otecel",0,586443,1482002,0,2413010
"2019-08","otecel",0,566933,1490248,0,2403811
"2019-09","otecel",0,549852,1497150,0,2392672
"2019-10","otecel",0,538377,1487801,0,2376684
"2019-11","otecel",0,533899,1493321,0,2393657
"2019-12","otecel",0,525012,1498098,0,2433247
"2020-01","otecel",0,523390,1509766,0,2452622
"2020-02","otecel",0,520018,1518121,0,2453358
"2020-03","otecel",0,504295,1490435,0,2409484
"2020-04","otecel",0,490884,1445157,0,2315912
"2020-05","otecel",0,533527,1269175,0,2313001
"2020-06","otecel",0,441417,1398680,0,2294281
"2020-07","otecel",0,427120,1389490,0,2449954
"2020-08","otecel",0,424029,1510481,0,2441399
"2020-09","otecel",0,448234,1479343,0,2558434
"2020-10","otecel",0,388843,1465442,0,2747570
"2020-11","otecel",0,523405,1294725,0,2818033
"2020-12","otecel",0,348602,1305745,0,3075378
"2021-01","otecel",0,337498,1218063,0,3245047
"2021-02","otecel",0,335586,1001328,0,3519963
"2021-03","otecel",0,317630,889408,0,3702395
"2021-04","otecel",0,261787,2796805,0,1857238
"2021-05","otecel",0,579030,1393261,0,2950954
"2021-06","otecel",0,555053,1336602,0,3035652
"2021-07","otecel",0,546745,1314244,0,3135686
"2021-08","otecel",0,535928,1299406,0,3217546
"2021-09","otecel",0,526375,1327782,0,3283607
"2009-01","cnt",167804,162465,0,0,0
"2009-02","cnt",167698,166643,0,0,0
"2009-03","cnt",167698,166643,0,0,0
"2009-04","cnt",167772,163484,0,0,0
"2009-05","cnt",163025,172700,0,0,0
"2009-06","cnt",165982,181770,0,0,0
"2009-07","cnt",166528,187029,0,0,0
"2009-08","cnt",167120,189207,0,0,0
"2009-09","cnt",167120,189207,0,0,0
"2009-10","cnt",170384,186186,0,0,0
"2009-11","cnt",173602,183298,0,0,0
"2009-12","cnt",173602,183298,0,0,0
"2010-01","cnt",172131,185213,0,0,0
"2010-02","cnt",173294,179887,0,0,0
"2010-03","cnt",171645,185699,0,0,0
"2010-04","cnt",167328,188347,0,0,0
"2010-05","cnt",167828,159491,0,0,0
"2010-06","cnt",163982,175736,0,0,0
"2010-07","cnt",155525,162359,0,0,0
"2010-08","cnt",158180,162235,0,0,0
"2010-09","cnt",160898,158054,0,0,0
"2010-10","cnt",163016,153172,0,0,0
"2010-11","cnt",156845,163474,0,0,0
"2010-12","cnt",157438,176292,0,0,0
"2011-01","cnt",160043,180160,0,0,0
"2011-02","cnt",154720,186457,0,0,0
"2011-03","cnt",147629,184169,0,0,0
"2011-04","cnt",143947,184694,0,0,0
"2011-05","cnt",136521,198808,0,0,0
"2011-06","cnt",129998,199726,0,0,0
"2011-07","cnt",128073,204431,0,0,0
"2011-08","cnt",117113,201361,0,0,0
"2011-09","cnt",111994,197425,0,0,0
"2011-10","cnt",108087,203255,0,0,0
"2011-11","cnt",100619,184419,0,0,0
"2011-12","cnt",102115,201253,0,0,0
"2012-01","cnt",101614,220074,0,0,0
"2012-02","cnt",98125,240338,0,0,0
"2012-03","cnt",88918,240460,0,0,0
"2012-04","cnt",94518,262318,0,0,0
"2012-05","cnt",92800,266333,0,0,0
"2012-06","cnt",90859,258810,0,0,0
"2012-07","cnt",88288,259714,0,0,0
"2012-08","cnt",85395,253593,0,0,0
"2012-09","cnt",83794,251067,0,0,0
"2012-10","cnt",83872,249297,0,0,0
"2012-11","cnt",82852,244221,0,0,0
"2012-12","cnt",75179,233874,218,0,0
"2013-01","cnt",70753,123445,154853,0,0
"2013-02","cnt",84948,118974,145491,0,0
"2013-03","cnt",83748,130396,148416,0,0
"2013-04","cnt",83748,130396,148416,0,0
"2013-05","cnt",83748,130396,148416,0,0
"2013-06","cnt",83748,130396,148416,0,0
"2013-07","cnt",83748,130396,148416,0,0
"2013-08","cnt",83748,130396,148416,0,0
"2013-09","cnt",83748,130396,148416,0,0
"2013-10","cnt",83748,130396,148416,0,0
"2013-11","cnt",83748,130396,148416,0,0
"2013-12","cnt",83748,130396,148416,0,0
"2014-01","cnt",78082,243864,119789,116162,310
"2014-02","cnt",77966,244414,119007,124298,476
"2014-03","cnt",78629,247159,119989,143876,822
"2014-04","cnt",72068,245841,120940,154224,1420
"2014-05","cnt",70162,243918,121814,167677,2333
"2014-06","cnt",69251,244263,122409,186769,3658
"2014-07","cnt",53733,245637,123670,207662,5218
"2014-08","cnt",40096,246636,0,356720,7230
"2014-09","cnt",39222,243463,0,399614,11522
"2014-10","cnt",18361,243568,0,438789,16912
"2014-11","cnt",8472,244483,0,491699,22256
"2014-12","cnt",3009,246983,0,498724,28176
"2015-01","cnt",2310,229810,0,548441,108216
"2015-02","cnt",1716,229985,0,581320,132846
"2015-03","cnt",0,223268,0,615250,193805
"2015-04","cnt",0,221264,0,626708,224404
"2015-05","cnt",0,221691,0,638789,255981
"2015-06","cnt",0,221929,0,678424,283486
"2015-07","cnt",0,221730,0,411989,308750
"2015-08","cnt",0,221564,0,413897,324167
"2015-09","cnt",0,234000,0,332718,452685
"2015-10","cnt",0,234839,0,311560,503670
"2015-11","cnt",0,236722,0,302529,491968
"2015-12","cnt",0,185171,0,316427,564105
"2016-01","cnt",0,163369,0,336631,595492
"2016-02","cnt",0,166966,0,333461,633795
"2016-03","cnt",0,166950,0,329835,678162
"2016-04","cnt",0,168963,0,326352,720323
"2016-05","cnt",0,169236,0,322759,753158
"2016-06","cnt",0,169387,0,321040,792499
